,index,eMolecules ID,predicted pKas,"pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES,eMolecules SMILES,"pKa count in [4,10]","pKas in [4,10]"
76,121,44160569,"[0.114, 1.574, 5.689, 12.728]",1.0,False,c1ccc(cc1)Oc2ccc(cc2)NC(=O)c3c(ncs3)CCc4ccncc4,O=C(c1scnc1CCc1ccncc1)Nc1ccc(cc1)Oc1ccccc1,1.0,[5.689]
77,122,2867544,"[4.048, 13.91]",1.0,False,c1nc(c2c3c(sc2n1)CCC3)N,Nc1ncnc2c1c1CCCc1s2,1.0,[4.048]
78,123,23354217,"[0.186, 1.836, 8.672, 14.128]",1.0,False,c1ccc(cc1)C(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)CNC(=O)c1ccccc1,1.0,[8.672]
79,124,25849195,[7.999],1.0,False,c1cc(cc(c1)Br)/C=C\2/C(=O)NC(=O)S2,O=C1NC(=O)/C(=C/c2cccc(c2)Br)/S1,1.0,[7.999]
80,125,1470412,"[-1.947, 7.834]",1.0,False,CCOC(=O)c1c-2c3c(cccc3[nH]c1=O)C(=O)c4c2cccc4,CCOC(=O)c1c(=O)[nH]c2c3c1c1ccccc1c(=O)c3ccc2,1.0,[7.834]
81,127,30719859,"[5.564, 13.766]",1.0,False,c1ccc2c(c1)c(ncn2)NCc3ccc(cc3)Cl,Clc1ccc(cc1)CNc1ncnc2c1cccc2,1.0,[5.564]
82,128,25857006,[8.052],1.0,False,c1cc(c(cc1c2ccc(o2)/C=C/3\C(=O)NC(=O)S3)Cl)Cl,O=C1S/C(=C/c2ccc(o2)c2ccc(c(c2)Cl)Cl)/C(=O)N1,1.0,[8.052]
83,129,5808501,"[2.628, 4.64, 13.312, 15.007]",1.0,False,CC(C)(C)c1cc(c(s1)C(=O)OC)NC(=O)Nc2ccc(cc2)Cl,COC(=O)c1sc(cc1NC(=O)Nc1ccc(cc1)Cl)C(C)(C)C,1.0,[4.64]
84,130,620265,[8.05],1.0,False,COC(=O)c1ccc(cc1)/C=C\2/C(=O)NC(=O)S2,COC(=O)c1ccc(cc1)/C=C/1\SC(=O)NC1=O,1.0,[8.05]
85,132,2382204,"[0.145, 1.869, 8.957]",1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)C(c3ccccc3)c4ccccc4,CCOc1ccc2c(c1)sc(n2)NC(=O)C(c1ccccc1)c1ccccc1,1.0,[8.957]
86,135,5837205,[7.38],1.0,False,COc1cc2c(cc1OC)C(=NCC2)c3cccc(c3)Cl,COc1cc2c(cc1OC)CCN=C2c1cccc(c1)Cl,1.0,[7.38]
87,136,1202048,[5.74],1.0,False,c1ccc(cc1)n2cnc3c2cccc3,c1ccc(cc1)n1cnc2c1cccc2,1.0,[5.74]
88,137,17211030,"[0.088, 1.885, 8.774]",1.0,False,COc1ccccc1CC(=O)Nc2nc3ccc(cc3s2)OC(F)(F)F,COc1ccccc1CC(=O)Nc1nc2c(s1)cc(cc2)OC(F)(F)F,1.0,[8.774]
89,138,6679830,"[-0.48, 9.119, 13.292]",1.0,False,c1cc2c(cc1O)c3c(o2)C(=O)NCCC3,Oc1cc2c3CCCNC(=O)c3oc2cc1,1.0,[9.119]
90,139,12272961,"[0.173, 2.089, 9.2]",1.0,False,COc1cccc(c1)CC(=O)Nc2nc3ccc(cc3s2)OC,COc1cccc(c1)CC(=O)Nc1nc2c(s1)cc(cc2)OC,1.0,[9.2]
91,141,25884764,[8.052],1.0,False,Cc1ccc(c(c1)Br)c2ccc(o2)/C=C/3\C(=O)NC(=O)S3,O=C1S/C(=C/c2ccc(o2)c2ccc(cc2Br)C)/C(=O)N1,1.0,[8.052]
92,143,1976726,[8.05],1.0,False,c1ccc(cc1)/C=C/2\C(=O)NC(=O)S2,O=C1NC(=O)S/C/1=C/c1ccccc1,1.0,[8.05]
93,144,23296409,"[-1.164, 1.852, 9.012, 13.305, 14.09, 14.55]",1.0,False,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C,CCN(CCNC(=O)c1c(C)[nH]c(c1C)/C=C/1\C(=O)Nc2c1cc(F)cc2)CC,1.0,[9.012]
94,146,44160581,"[0.114, 1.574, 5.689, 12.777]",1.0,False,CC(C)(C)c1ccc(cc1)NC(=O)c2c(ncs2)CCc3ccncc3,O=C(c1scnc1CCc1ccncc1)Nc1ccc(cc1)C(C)(C)C,1.0,[5.689]
95,147,594850,"[4.267, 12.829]",1.0,False,COc1cc2c(cc1OC)ncnc2Nc3cccc(c3)Cl,COc1cc2c(ncnc2cc1OC)Nc1cccc(c1)Cl,1.0,[4.267]
96,148,1859493,"[4.05, 12.774]",1.0,False,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)Cl.Cl,Clc1cccc(c1)Nc1ncnc2c1cccc2.Cl,1.0,[4.05]
97,149,3192230,"[0.171, 2.089, 9.2]",1.0,False,COc1ccc(cc1)CC(=O)Nc2nc3ccc(cc3s2)OC,COc1ccc(cc1)CC(=O)Nc1nc2c(s1)cc(cc2)OC,1.0,[9.2]
98,150,1987313,"[4.267, 13.106]",1.0,False,COc1cc2c(cc1OC)ncnc2Nc3ccccc3,COc1cc2c(ncnc2cc1OC)Nc1ccccc1,1.0,[4.267]
99,152,901816,[9.342],1.0,False,CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,O=C(c1ccc(cc1)C(C)(C)C)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,1.0,[9.342]
100,155,5809584,"[-2.982, 6.106, 13.516]",1.0,False,c1ccc(cc1)c2cc(c(s2)C(=O)N)NS(=O)(=O)c3ccc(cc3)F,Fc1ccc(cc1)S(=O)(=O)Nc1cc(sc1C(=O)N)c1ccccc1,1.0,[6.106]
101,156,1171893,"[0.192, 2.134, 9.045]",1.0,False,c1ccc(cc1)CC(=O)Nc2nc3ccccc3s2,O=C(Nc1nc2c(s1)cccc2)Cc1ccccc1,1.0,[9.045]
102,160,3647680,"[5.123, 13.404]",1.0,False,c1ccc(cc1)Oc2ccc(cc2)C(=O)NCc3ccccn3,O=C(c1ccc(cc1)Oc1ccccc1)NCc1ccccn1,1.0,[5.123]
103,163,1377874,[7.903],1.0,False,Cc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(F)(F)F,Cc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,1.0,[7.903]
104,165,1536105,"[-1.494, -0.943, -0.719, -0.332, 8.46, 12.886]",1.0,False,c1ccc(c(c1)c2c(=O)[nH]c3ccccc3n2)NC(=O)c4cccs4,O=C(c1cccs1)Nc1ccccc1c1nc2ccccc2[nH]c1=O,1.0,[8.46]
105,166,17837989,"[4.33, 13.398]",1.0,False,c1ccc(cc1)/C=C/C(=O)Nc2ccccc2F,O=C(Nc1ccccc1F)/C=C/c1ccccc1,1.0,[4.33]
106,168,11880412,"[0.199, 1.895, 8.746, 14.976]",1.0,False,c1ccc(cc1)CC(=O)NCC(=O)Nc2nc3ccccc3s2,O=C(Cc1ccccc1)NCC(=O)Nc1nc2c(s1)cccc2,1.0,[8.746]
107,169,1406839,"[0.122, 0.934, 9.839]",1.0,False,c1cc(cc(c1)C(F)(F)F)Cc2cnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1ncc(s1)Cc1cccc(c1)C(F)(F)F,1.0,[9.839]
108,170,1411040,"[-1.75, 1.662, 5.689, 13.511, 15.733]",1.0,False,COc1ccc(cc1)Nc2c3ccccc3c(nn2)c4ccc(cc4)C(=O)N,COc1ccc(cc1)Nc1nnc(c2c1cccc2)c1ccc(cc1)C(=O)N,1.0,[5.689]
109,171,901601,"[-2.238, -0.407, 9.703]",1.0,False,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,1.0,[9.703]
110,173,5428718,"[-0.417, -0.375, 6.525]",1.0,False,c1ccc(c(c1)C(=O)Nc2nnc(s2)SCc3ccc(cc3)Br)Cl,Brc1ccc(cc1)CSc1nnc(s1)NC(=O)c1ccccc1Cl,1.0,[6.525]
111,174,207007221,[8.05],1.0,False,c1ccc(c(c1)/C=C/2\C(=O)NC(=O)S2)F,O=C1NC(=O)/C(=C\c2ccccc2F)/S1,1.0,[8.05]
112,175,1716329,"[2.0, 5.346, 14.192]",1.0,False,c1ccc(c(c1)NC(=O)c2ccc(o2)Br)N3CCCCC3,Brc1ccc(o1)C(=O)Nc1ccccc1N1CCCCC1,1.0,[5.346]
113,176,43822335,"[0.093, 1.898, 8.945]",1.0,False,COc1ccccc1CC(=O)Nc2nc3ccc(cc3s2)F,COc1ccccc1CC(=O)Nc1nc2c(s1)cc(cc2)F,1.0,[8.945]
114,177,703997,"[-1.903, 8.549]",1.0,False,CCOC(=O)c1c(c2cc(ccc2[nH]c1=O)Cl)c3ccccc3,CCOC(=O)c1c(=O)[nH]c2c(c1c1ccccc1)cc(cc2)Cl,1.0,[8.549]
115,178,5428734,"[-0.417, -0.375, 7.202]",1.0,False,c1cc(ccc1CSc2nnc(s2)NC(=O)c3ccc(cc3)F)Br,Fc1ccc(cc1)C(=O)Nc1nnc(s1)SCc1ccc(cc1)Br,1.0,[7.202]
116,179,1228629,"[-0.047, -0.03, 7.12]",1.0,False,c1ccc(cc1)Cc2nnc(s2)NC(=O)c3cccs3,O=C(c1cccs1)Nc1nnc(s1)Cc1ccccc1,1.0,[7.12]
