,eMolecules SKU,predicted pKas,"pKas in [3,11]","pKa count in [3,11]",pKas closer than 1 unit,canonical isomeric SMILES
100,151312641,"[2.0, 5.346, 14.192]",[5.346],1.0,False,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)N3CCCCC3
101,146122645,[7.592],[7.592],1.0,False,Cc1ccc(c(c1)Br)c2ccc(o2)/C=C/3\C(=O)NC(=S)S3
102,165901571,"[0.515, 7.062, 9.339, 12.694]","[7.062, 9.339]",2.0,False,COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(cc5)F
103,137706758,"[5.123, 13.404]",[5.123],1.0,False,c1ccc(cc1)Oc2ccc(cc2)C(=O)NCc3ccccn3
104,166885761,"[4.267, 12.973]",[4.267],1.0,False,COc1cc2c(cc1OC)ncnc2Nc3ccc(cc3F)Br
105,151324937,"[-1.927, 8.258, 12.293]",[8.258],1.0,False,c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)Cc4ccc(cc4)Cl
106,103507259,"[5.973, 8.405, 12.749]","[5.973, 8.405]",2.0,False,CCN(CC)CC(=O)Nc1cc(nc2c1cccc2)N(C)C
107,151397645,"[-1.464, 4.569, 8.937, 13.041, 14.239]","[4.569, 8.937]",2.0,False,c1cc(oc1)CN2CCN(CC2)CC(=O)Nc3c(ccs3)C(=O)N
108,103709970,"[-0.016, 0.681, 8.495, 16.056]",[8.495],1.0,False,COc1ccc(cc1)C(=O)Nc2nnc(s2)Cc3c[nH]c4c3cccc4
109,166768915,"[2.531, 4.438, 8.621, 14.282]","[4.438, 8.621]",2.0,False,Cc1ccc2c(n/c(=N\c3[nH]c(cc(=O)n3)CSc4nnnn4c5ccccc5)/[nH]c2c1)C
110,166834454,"[0.942, 1.56, 4.412, 12.453, 13.957, 16.055]",[4.412],1.0,False,Cc1ccc(cc1)Nc2c3c(nc(n2)NCCO)n(cn3)C(C)C
111,150951191,"[0.15, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3ccc(c(c3)Cl)Cl
112,157441412,"[-1.387, 8.584, 9.84, 10.869]","[8.584, 9.84, 10.869]",3.0,False,c1cc(ccc1c2coc3cc(cc(c3c2=O)O)O)O
113,166020378,"[4.295, 7.024]","[4.295, 7.024]",2.0,False,c1cc(ccc1/C=C\2/C(=O)NC(=S)S2)N3CCCC3
114,103838767,"[-0.366, 4.576, 15.072, 15.177]",[4.576],1.0,False,CNC(=O)CCCc1c2cc(ccc2[nH]c1c3ccccn3)F
115,151769373,"[-1.561, 0.313, 3.197, 13.175]",[3.197],1.0,False,Cn1c2c(cn1)c(ncn2)NCCOc3cccc(c3)Cl
116,150951198,"[0.145, 1.869, 8.957]",[8.957],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)C(c3ccccc3)c4ccccc4
117,155044485,"[1.067, 1.494, 7.533, 14.101]",[7.533],1.0,False,CCN1CCN(CC1)c2c(cccc2Cl)NC(=O)c3ccc(o3)Br
118,167057702,"[-2.245, 0.644, 3.892, 12.676, 16.976]",[3.892],1.0,False,COc1ccccc1Nc2c(cnc(n2)Nc3ccccc3OC)F
119,146850092,"[-1.75, 5.18, 13.478]",[5.18],1.0,False,CNC(=O)c1ccc2c(c1)ncn2c3ccccc3
120,129142585,"[2.049, 3.339]",[3.339],1.0,False,COc1ccc(cc1)OCc2nnc3n2nc(s3)c4ccccc4
121,150951215,"[0.151, 2.037, 9.167]",[9.167],1.0,False,CCOc1ccc2c(c1)sc(n2)NC(=O)Cc3cccc(c3)OC
122,167057714,"[3.892, 12.676, 15.146]",[3.892],1.0,False,c1cc(cc(c1)Br)Nc2c(cnc(n2)Nc3cccc(c3)Br)F
123,167057715,"[3.892, 12.676, 15.878]",[3.892],1.0,False,c1ccc(cc1)Nc2c(cnc(n2)Nc3ccccc3)F
124,103904990,"[2.789, 4.911, 11.219, 13.618, 13.901]",[4.911],1.0,False,c1[nH]c2c(n1)c(nc(n2)N)NC3CCCCC3
